Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
1,29.0,170.0,68.0,64,35,1,2008,6,40,413,0
0,32.0,179.0,89.0,132,67,0,1998,24,25,283,0
0,22.0,181.0,79.0,151,72,0,1988,8,0,4,0
1,22.0,162.0,57.0,22,12,1,2008,6,4,94,0
0,25.0,183.0,81.0,151,72,1,1992,5,11,141,0
0,26.0,172.0,57.0,149,78,1,1964,39,10,123,1
0,24.0,167.0,60.0,54,31,1,1960,28,22,263,0
0,33.0,190.0,92.0,171,95,1,2004,3,23,279,0
1,25.0,173.0,70.0,382,207,1,2012,17,35,386,0
0,26.0,200.0,110.0,93,49,1,2012,17,23,279,1
0,25.0,183.0,90.0,145,77,1,2012,17,11,145,0
0,26.0,171.0,73.0,382,207,1,1956,19,14,197,0
0,29.0,183.0,81.0,154,79,1,2004,3,3,34,0
0,16.0,170.0,71.0,296,163,1,1964,39,35,369,0
0,30.0,182.0,83.0,188,102,0,2010,41,9,113,0
0,27.0,179.0,69.0,352,182,1,1972,23,11,151,0
0,24.0,184.0,82.0,259,142,1,1996,4,3,31,0
0,28.0,198.0,80.0,285,156,1,1964,39,3,45,0
0,37.0,200.0,102.0,256,146,1,2016,27,31,324,2
0,29.0,200.0,93.0,46,28,1,2000,38,50,494,0
0,22.0,160.0,60.0,151,72,1,1992,5,26,285,0
0,28.0,188.0,84.0,382,207,1,2000,38,42,441,3
0,25.0,190.0,83.0,16,8,1,2000,38,31,319,0
0,27.0,198.0,97.0,397,68,1,1976,21,11,141,0
0,26.0,183.0,79.0,151,72,1,2004,3,3,34,0
1,19.0,167.0,56.0,188,102,1,1976,21,42,453,0
1,34.0,161.0,60.0,64,35,1,1984,18,16,230,0
0,21.0,182.0,80.0,37,19,1,1964,39,17,234,0
1,38.0,165.0,58.0,237,133,1,2004,3,35,381,0
0,24.0,180.0,73.0,382,207,1,1996,4,24,281,0
0,36.0,175.0,67.0,44,23,1,2004,3,35,360,0
0,20.0,172.0,73.0,408,217,1,1960,28,22,265,0
0,23.0,183.0,95.0,382,207,1,1984,18,35,367,0
0,15.0,167.0,58.0,64,35,0,1980,15,38,399,0
1,22.0,176.0,64.0,301,165,0,1994,16,41,420,0
0,18.0,186.0,79.0,37,19,1,2012,17,42,441,0
1,18.0,154.0,42.0,285,156,1,1972,23,22,273,0
0,21.0,157.0,48.0,86,45,1,1988,33,53,526,0
0,19.0,165.0,62.0,195,103,1,1996,4,22,269,0
0,31.0,186.0,79.0,382,207,1,2000,38,3,22,1
0,20.0,185.0,84.0,296,163,1,1984,18,11,141,0
0,25.0,182.0,82.0,349,185,1,2000,38,7,98,0
0,23.0,183.0,73.0,397,68,0,1984,32,12,164,0
0,23.0,185.0,80.0,184,98,1,1984,18,42,441,0
0,19.0,175.0,75.0,265,144,0,1984,32,29,307,0
1,23.0,168.0,59.0,376,204,1,2008,6,46,487,0
0,27.0,186.0,59.0,382,207,1,2000,38,3,20,0
0,26.0,175.0,77.0,349,185,1,1912,37,53,531,0
0,18.0,180.0,81.0,301,165,1,2008,6,26,288,0
1,35.0,172.0,67.0,382,207,1,2012,17,19,250,2
0,21.0,189.0,84.0,118,58,1,2012,17,19,249,0
1,28.0,165.0,59.0,151,72,0,1992,0,20,258,0
1,21.0,173.0,58.0,352,182,1,1972,23,3,82,0
1,34.0,176.0,64.0,301,165,0,2006,40,41,424,2
0,27.0,181.0,82.0,397,68,1,1976,21,11,150,0
1,20.0,170.0,58.0,188,102,1,1996,4,42,463,0
0,24.0,185.0,80.0,181,93,1,2000,38,31,321,0
0,28.0,204.0,96.0,340,61,1,1988,33,6,96,0
0,25.0,181.0,85.0,100,189,0,1976,14,38,397,0
1,32.0,172.0,67.0,151,72,1,2012,17,23,280,0
0,32.0,189.0,90.0,98,52,1,2004,3,46,484,0
1,19.0,164.0,66.0,145,77,0,1960,35,41,424,0
0,26.0,183.0,79.0,151,72,1,1956,19,11,142,0
1,19.0,163.0,48.0,114,74,1,1976,21,22,278,0
0,37.0,176.0,71.0,352,182,1,1956,37,16,227,1
1,19.0,162.0,48.0,336,205,1,1972,23,22,273,0
0,25.0,182.0,127.5,349,185,1,1992,5,52,508,0
0,26.0,191.0,81.0,251,140,1,2012,17,14,189,0
0,26.0,199.0,92.0,25,13,1,2000,38,7,98,0
0,31.0,183.0,75.0,382,207,1,1924,26,31,317,1
0,31.0,192.0,98.0,340,61,1,2016,27,11,149,1
0,19.0,179.0,74.0,25,13,0,1984,32,41,415,0
0,20.0,185.0,92.0,64,35,0,2010,41,25,283,2
0,30.0,186.0,93.0,352,182,0,2006,40,25,283,0
0,16.0,185.0,84.0,160,83,1,2008,6,42,432,0
0,23.0,161.0,58.0,188,102,1,1960,28,22,264,0
0,24.0,197.0,95.0,408,217,1,1976,21,6,96,3
1,26.0,173.0,61.0,301,165,1,2016,27,17,238,2
0,33.0,176.0,85.0,184,98,1,2008,6,51,496,0
1,27.0,176.0,72.0,75,40,1,2004,3,22,278,0
0,28.0,181.0,85.0,285,156,1,1988,33,53,534,0
0,30.0,180.0,78.0,169,88,1,1972,23,51,496,3
0,23.0,180.0,72.0,7,3,1,2016,27,19,249,0
1,21.0,173.0,60.0,184,98,1,2008,6,48,492,0
1,28.0,174.0,73.0,408,217,1,1988,33,23,280,0
1,25.0,163.0,58.0,3,2,1,2012,17,52,515,0
1,20.0,169.0,57.0,251,140,1,1992,5,43,468,0
0,34.0,186.0,82.0,145,77,0,2006,40,8,100,2
0,29.0,174.0,85.0,196,104,1,1964,39,35,365,0
1,19.0,157.0,64.0,64,35,1,2004,3,11,153,0
0,24.0,178.0,79.0,228,135,1,1996,4,4,90,0
0,22.0,170.0,80.0,382,207,1,1964,39,26,291,1
1,26.0,174.0,56.0,14,5,1,1992,5,3,63,0
0,30.0,186.0,115.0,132,67,1,2000,38,3,48,0
0,22.0,171.0,70.0,86,45,1,1972,23,14,183,0
0,40.0,160.0,60.0,78,196,1,1968,20,52,499,0
0,27.0,179.0,70.0,242,121,1,2008,6,3,52,0
1,25.0,178.0,64.0,54,31,1,2012,17,3,89,0
0,23.0,175.0,60.0,7,3,1,2016,27,19,249,0
0,41.0,178.0,87.0,181,93,1,2012,17,35,371,0
0,22.0,169.0,70.0,184,98,1,1936,7,19,249,2
0,22.0,180.0,75.0,75,40,1,1988,33,3,62,0
0,23.0,183.0,75.0,265,144,0,1980,15,12,162,0
0,34.0,171.0,67.0,22,12,1,1960,28,16,225,2
0,27.0,178.0,86.0,349,185,1,1956,19,3,48,0
1,27.0,164.0,65.0,184,98,0,2014,34,0,7,0
0,29.0,180.0,80.0,132,67,0,1964,14,12,164,0
0,30.0,172.0,63.0,240,127,1,1976,21,26,290,0
0,32.0,186.0,90.0,184,98,1,2004,3,51,496,0
1,28.0,166.0,54.0,377,64,1,1992,5,3,66,0
1,16.0,157.0,46.0,22,12,1,1988,33,22,278,0
0,24.0,185.0,79.0,332,164,1,2012,17,42,441,0
0,29.0,166.0,48.0,64,35,1,1996,4,10,120,0
1,24.0,170.0,69.0,25,13,1,2012,17,3,83,0
0,22.0,179.0,76.0,340,61,1,1976,21,19,249,0
0,19.0,188.0,69.0,251,140,1,2004,3,14,189,0
0,22.0,180.0,80.0,151,72,1,1968,20,17,233,0
0,29.0,177.0,78.0,169,88,1,1988,33,17,235,2
0,23.0,188.0,75.0,251,140,1,1980,22,42,440,0
