Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
Alison Bradley,0,29.0,170.0,68.0,Canada,CAN,1,2008,Beijing,Softball,Softball Women's Softball, 
Roger Dub,0,32.0,179.0,89.0,France,FRA,0,1998,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey, 
Andrew Graham Bell,0,22.0,181.0,79.0,Great Britain,GBR,0,1988,Calgary,Alpine Skiing,Alpine Skiing Men's Super G, 
Erin Carroll,0,22.0,162.0,57.0,Australia,AUS,1,2008,Beijing,Badminton,Badminton Women's Singles, 
Reuben Edward Burgess,0,25.0,183.0,81.0,Great Britain,GBR,1,1992,Barcelona,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres", 
"Edward ""Eddie"" Blay",0,26.0,172.0,57.0,Ghana,GHA,1,1964,Tokyo,Boxing,Boxing Men's Light-Welterweight,Bronze
Todor G. Bachvarov,0,24.0,167.0,60.0,Bulgaria,BUL,1,1960,Roma,Gymnastics,Gymnastics Men's Floor Exercise, 
Roland Eradze,0,33.0,190.0,92.0,Iceland,ISL,1,2004,Athina,Handball,Handball Men's Handball, 
Corey Cogdell-Unrein,0,25.0,173.0,70.0,United States,USA,1,2012,London,Shooting,Shooting Women's Trap, 
Mirko Alilovi,0,26.0,200.0,110.0,Croatia,CRO,1,2012,London,Handball,Handball Men's Handball,Bronze
Norman Brckl,0,25.0,183.0,90.0,Germany,GER,1,2012,London,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres", 
Jack Wayne Disney,0,26.0,171.0,73.0,United States,USA,1,1956,Melbourne,Cycling,Cycling Men's Sprint, 
"Stylianos ""Stelios"" Dimotsios",0,29.0,183.0,81.0,Greece,GRE,1,2004,Athina,Athletics,Athletics Men's 400 metres, 
Traian Cogut,0,16.0,170.0,71.0,Romania,ROU,1,1964,Tokyo,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres", 
Shinji Doigawa,0,30.0,182.0,83.0,Japan,JPN,0,2010,Vancouver,Bobsleigh,Bobsleigh Men's Four, 
Peter Bni,0,27.0,179.0,69.0,Switzerland,SUI,1,1972,Munich,Canoeing,"Canoeing Men's Kayak Singles, Slalom", 
Davidson Ezinwa,0,24.0,184.0,82.0,Nigeria,NGR,1,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay, 
Zenon Begier,0,28.0,198.0,80.0,Poland,POL,1,1964,Tokyo,Athletics,Athletics Men's Discus Throw, 
Alexander Mah Owens Drysdale,0,37.0,200.0,102.0,New Zealand,NZL,1,2016,Rio de Janeiro,Rowing,Rowing Men's Single Sculls,Gold
Douglas Chiarotti,0,29.0,200.0,93.0,Brazil,BRA,1,2000,Sydney,Volleyball,Volleyball Men's Volleyball, 
Nigel John Patrick Donohue,0,22.0,160.0,60.0,Great Britain,GBR,1,1992,Barcelona,Judo,Judo Men's Extra-Lightweight, 
"Joshua Clark ""Josh"" Davis",0,28.0,188.0,84.0,United States,USA,1,2000,Sydney,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Diego Aguirregomezcorta,0,25.0,190.0,83.0,Argentina,ARG,1,2000,Sydney,Rowing,Rowing Men's Coxless Pairs, 
Rudolf Bla,0,27.0,198.0,97.0,West Germany,FRG,1,1976,Montreal,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres", 
Malachi John Davis,0,26.0,183.0,79.0,Great Britain,GBR,1,2004,Athina,Athletics,Athletics Men's 400 metres, 
Kuniko Banno,0,19.0,167.0,56.0,Japan,JPN,1,1976,Montreal,Swimming,Swimming Women's 100 metres Butterfly, 
"Elizabeth ""Liz"" Ashton (-Eriksen)",0,34.0,161.0,60.0,Canada,CAN,1,1984,Los Angeles,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual", 
Yves Brasseur,0,21.0,182.0,80.0,Belgium,BEL,1,1964,Tokyo,Fencing,"Fencing Men's Sabre, Individual", 
Fabienne Diato-Pasetti,0,38.0,165.0,58.0,Monaco,MON,1,2004,Athina,Shooting,"Shooting Women's Air Rifle, 10 metres", 
"Steven Patrick ""Steve"" Danielson",0,24.0,180.0,73.0,United States,USA,1,1996,Atlanta,Hockey,Hockey Men's Hockey, 
Nedad Fazlija,0,36.0,175.0,67.0,Bosnia and Herzegovina,BIH,1,2004,Athina,Shooting,"Shooting Men's Air Rifle, 10 metres", 
Miroslav Cerar,0,20.0,172.0,73.0,Yugoslavia,YUG,1,1960,Roma,Gymnastics,Gymnastics Men's Horse Vault, 
Todd Leddie Bensley,0,23.0,183.0,95.0,United States,USA,1,1984,Los Angeles,Shooting,"Shooting Men's Running Target, 50 metres", 
"Stephen Clark ""Steve"" Collins",0,15.0,167.0,58.0,Canada,CAN,0,1980,Lake Placid,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual", 
Svetlana Sergeyevna Boyarkina-Zhurova,0,22.0,176.0,64.0,Russia,RUS,0,1994,Lillehammer,Speed Skating,"Speed Skating Women's 1,000 metres", 
Louis Croenen,0,18.0,186.0,79.0,Belgium,BEL,1,2012,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay, 
Joanna Danuta Bartosz (-Bronarska),0,18.0,154.0,42.0,Poland,POL,1,1972,Munich,Gymnastics,Gymnastics Women's Floor Exercise, 
William Javier Delgado Cerquera,0,21.0,157.0,48.0,Colombia,COL,1,1988,Seoul,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle", 
Aleksey Dmitriyenko,0,19.0,165.0,62.0,Kazakhstan,KAZ,1,1996,Atlanta,Gymnastics,Gymnastics Men's Rings, 
Mark James Crear,0,31.0,186.0,79.0,United States,USA,1,2000,Sydney,Athletics,Athletics Men's 110 metres Hurdles,Bronze
Alexandru Dulu,0,20.0,185.0,84.0,Romania,ROU,1,1984,Los Angeles,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres", 
Karl Johan Simon Dahl,0,25.0,182.0,82.0,Sweden,SWE,1,2000,Sydney,Beach Volleyball,Beach Volleyball Men's Beach Volleyball, 
Jochen Friedrich Behle,0,23.0,183.0,73.0,West Germany,FRG,0,1984,Sarajevo,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay, 
Marco Colombo,0,23.0,185.0,80.0,Italy,ITA,1,1984,Los Angeles,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay, 
Geir Andersen,0,19.0,175.0,75.0,Norway,NOR,0,1984,Sarajevo,Nordic Combined,Nordic Combined Men's Individual, 
Alona Volodymyrivna Bondarenko,0,23.0,168.0,59.0,Ukraine-2,UKR,1,2008,Beijing,Tennis,Tennis Women's Doubles, 
Alan Lawrence Culpepper,0,27.0,186.0,59.0,United States,USA,1,2000,Sydney,Athletics,"Athletics Men's 10,000 metres", 
Johan Hugo Bjrklund Bjrklund,0,26.0,175.0,77.0,Sweden,SWE,1,1912,Stockholm,Wrestling,"Wrestling Men's Lightweight, Greco-Roman", 
Alibek Alikovich Bashkayev,0,18.0,180.0,81.0,Russia,RUS,1,2008,Beijing,Judo,Judo Men's Half-Middleweight, 
Shannon Leigh Boxx,0,35.0,172.0,67.0,United States,USA,1,2012,London,Football,Football Women's Football,Gold
Mahmoud Alaa El-Din Mahmoud Alian,0,21.0,189.0,84.0,Egypt,EGY,1,2012,London,Football,Football Men's Football, 
"Jillian Mary ""Jilly"" Curry (-Wallace)",0,28.0,165.0,59.0,Great Britain,GBR,0,1992,Albertville,Freestyle Skiing,Freestyle Skiing Women's Moguls, 
Doris Bisang (-Oberer),0,21.0,173.0,58.0,Switzerland,SUI,1,1972,Munich,Athletics,Athletics Women's High Jump, 
Svetlana Sergeyevna Boyarkina-Zhurova,0,34.0,176.0,64.0,Russia,RUS,0,2006,Torino,Speed Skating,Speed Skating Women's 500 metres,Gold
Hans Eich,0,27.0,181.0,82.0,West Germany,FRG,1,1976,Montreal,Canoeing,"Canoeing Men's Kayak Singles, 500 metres", 
Suzu Chiba,0,20.0,170.0,58.0,Japan,JPN,1,1996,Atlanta,Swimming,Swimming Women's 400 metres Freestyle, 
Neal Byrne,0,24.0,185.0,80.0,Ireland,IRL,1,2000,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours, 
Fernando Arcega Aperte,0,28.0,204.0,96.0,Spain,ESP,1,1988,Seoul,Basketball,Basketball Men's Basketball, 
Jindich Balcar,0,25.0,181.0,85.0,Czechoslovakia,TCH,0,1976,Innsbruck,Ski Jumping,"Ski Jumping Men's Large Hill, Individual", 
Lyn Byl,0,32.0,172.0,67.0,Great Britain,GBR,1,2012,London,Handball,Handball Women's Handball, 
Martin Damm,0,32.0,189.0,90.0,Czech Republic-1,CZE,1,2004,Athina,Tennis,Tennis Men's Doubles, 
Sigrit Behrenz,0,19.0,164.0,66.0,Germany,GER,0,1960,Squaw Valley,Speed Skating,Speed Skating Women's 500 metres, 
Raymond Charles Blick,0,26.0,183.0,79.0,Great Britain,GBR,1,1956,Melbourne,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres", 
"Gitta Escher (-Sommer, -Wagenknecht)",0,19.0,163.0,48.0,East Germany,GDR,1,1976,Montreal,Gymnastics,Gymnastics Women's Uneven Bars, 
Henri Chammartin,0,37.0,176.0,71.0,Switzerland,SUI,1,1956,Stockholm,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
Lyubov Viktorovna Burda (-Andrianova),0,19.0,162.0,48.0,Soviet Union,URS,1,1972,Munich,Gymnastics,Gymnastics Women's Floor Exercise, 
Anders Torbjrn Bergstrm,0,25.0,182.0,127.5,Sweden,SWE,1,1992,Barcelona,Weightlifting,Weightlifting Men's Super-Heavyweight, 
Lars Anthonius Johannes Boom,0,26.0,191.0,81.0,Netherlands,NED,1,2012,London,Cycling,Cycling Men's Individual Time Trial, 
"Nikolas ""Nik"" Berger",0,26.0,199.0,92.0,Austria,AUT,1,2000,Sydney,Beach Volleyball,Beach Volleyball Men's Beach Volleyball, 
Leon Edward Butler,0,31.0,183.0,75.0,United States,USA,1,1924,Paris,Rowing,Rowing Men's Coxed Pairs,Bronze
Sal Craviotto Rivero,0,31.0,192.0,98.0,Spain,ESP,1,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Bronze
Christian Eminger,0,19.0,179.0,74.0,Austria,AUT,0,1984,Sarajevo,Speed Skating,"Speed Skating Men's 1,500 metres", 
Drew Doughty,0,20.0,185.0,92.0,Canada,CAN,0,2010,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Patric Della Rossa,0,30.0,186.0,93.0,Switzerland,SUI,0,2006,Torino,Ice Hockey,Ice Hockey Men's Ice Hockey, 
Christopher Judemesa Duenas,0,16.0,185.0,84.0,Guam,GUM,1,2008,Beijing,Swimming,Swimming Men's 100 metres Freestyle, 
Yukio Endo,0,23.0,161.0,58.0,Japan,JPN,1,1960,Roma,Gymnastics,Gymnastics Men's Horizontal Bar, 
Draen Dalipagi,0,24.0,197.0,95.0,Yugoslavia,YUG,1,1976,Montreal,Basketball,Basketball Men's Basketball,Silver
Inna Vasilyevna Deriglazova,0,26.0,173.0,61.0,Russia,RUS,1,2016,Rio de Janeiro,Fencing,"Fencing Women's Foil, Individual",Gold
Alberto Angelini,0,33.0,176.0,85.0,Italy,ITA,1,2008,Beijing,Water Polo,Water Polo Men's Water Polo, 
Fan Ye,0,27.0,176.0,72.0,China,CHN,1,2004,Athina,Gymnastics,Gymnastics Women's Uneven Bars, 
Bogdan Stanisaw Daras,0,28.0,181.0,85.0,Poland,POL,1,1988,Seoul,Wrestling,"Wrestling Men's Middleweight, Greco-Roman", 
Andrs Bodnr,0,30.0,180.0,78.0,Hungary,HUN,1,1972,Munich,Water Polo,Water Polo Men's Water Polo,Silver
Mohammed Benkablia,0,23.0,180.0,72.0,Algeria,ALG,1,2016,Rio de Janeiro,Football,Football Men's Football, 
Charlotte Bonin,0,21.0,173.0,60.0,Italy,ITA,1,2008,Beijing,Triathlon,Triathlon Women's Olympic Distance, 
Slavica Djuki,0,28.0,174.0,73.0,Yugoslavia,YUG,1,1988,Seoul,Handball,Handball Women's Handball, 
Romela Begaj,0,25.0,163.0,58.0,Albania,ALB,1,2012,London,Weightlifting,Weightlifting Women's Lightweight, 
