Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
0,29.0,170.0,68.0,Canada,CAN,1,2008,Beijing,Softball,Softball Women's Softball, 
0,32.0,179.0,89.0,France,FRA,0,1998,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey, 
0,22.0,181.0,79.0,Great Britain,GBR,0,1988,Calgary,Alpine Skiing,Alpine Skiing Men's Super G, 
0,22.0,162.0,57.0,Australia,AUS,1,2008,Beijing,Badminton,Badminton Women's Singles, 
0,25.0,183.0,81.0,Great Britain,GBR,1,1992,Barcelona,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres", 
0,26.0,172.0,57.0,Ghana,GHA,1,1964,Tokyo,Boxing,Boxing Men's Light-Welterweight,Bronze
0,24.0,167.0,60.0,Bulgaria,BUL,1,1960,Roma,Gymnastics,Gymnastics Men's Floor Exercise, 
0,33.0,190.0,92.0,Iceland,ISL,1,2004,Athina,Handball,Handball Men's Handball, 
0,25.0,173.0,70.0,United States,USA,1,2012,London,Shooting,Shooting Women's Trap, 
0,26.0,200.0,110.0,Croatia,CRO,1,2012,London,Handball,Handball Men's Handball,Bronze
0,25.0,183.0,90.0,Germany,GER,1,2012,London,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres", 
0,26.0,171.0,73.0,United States,USA,1,1956,Melbourne,Cycling,Cycling Men's Sprint, 
0,29.0,183.0,81.0,Greece,GRE,1,2004,Athina,Athletics,Athletics Men's 400 metres, 
0,16.0,170.0,71.0,Romania,ROU,1,1964,Tokyo,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres", 
0,30.0,182.0,83.0,Japan,JPN,0,2010,Vancouver,Bobsleigh,Bobsleigh Men's Four, 
0,27.0,179.0,69.0,Switzerland,SUI,1,1972,Munich,Canoeing,"Canoeing Men's Kayak Singles, Slalom", 
0,24.0,184.0,82.0,Nigeria,NGR,1,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay, 
0,28.0,198.0,80.0,Poland,POL,1,1964,Tokyo,Athletics,Athletics Men's Discus Throw, 
0,37.0,200.0,102.0,New Zealand,NZL,1,2016,Rio de Janeiro,Rowing,Rowing Men's Single Sculls,Gold
0,29.0,200.0,93.0,Brazil,BRA,1,2000,Sydney,Volleyball,Volleyball Men's Volleyball, 
0,22.0,160.0,60.0,Great Britain,GBR,1,1992,Barcelona,Judo,Judo Men's Extra-Lightweight, 
0,28.0,188.0,84.0,United States,USA,1,2000,Sydney,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
0,25.0,190.0,83.0,Argentina,ARG,1,2000,Sydney,Rowing,Rowing Men's Coxless Pairs, 
0,27.0,198.0,97.0,West Germany,FRG,1,1976,Montreal,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres", 
0,26.0,183.0,79.0,Great Britain,GBR,1,2004,Athina,Athletics,Athletics Men's 400 metres, 
0,19.0,167.0,56.0,Japan,JPN,1,1976,Montreal,Swimming,Swimming Women's 100 metres Butterfly, 
0,34.0,161.0,60.0,Canada,CAN,1,1984,Los Angeles,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual", 
0,21.0,182.0,80.0,Belgium,BEL,1,1964,Tokyo,Fencing,"Fencing Men's Sabre, Individual", 
0,38.0,165.0,58.0,Monaco,MON,1,2004,Athina,Shooting,"Shooting Women's Air Rifle, 10 metres", 
0,24.0,180.0,73.0,United States,USA,1,1996,Atlanta,Hockey,Hockey Men's Hockey, 
0,36.0,175.0,67.0,Bosnia and Herzegovina,BIH,1,2004,Athina,Shooting,"Shooting Men's Air Rifle, 10 metres", 
0,20.0,172.0,73.0,Yugoslavia,YUG,1,1960,Roma,Gymnastics,Gymnastics Men's Horse Vault, 
0,23.0,183.0,95.0,United States,USA,1,1984,Los Angeles,Shooting,"Shooting Men's Running Target, 50 metres", 
0,15.0,167.0,58.0,Canada,CAN,0,1980,Lake Placid,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual", 
0,22.0,176.0,64.0,Russia,RUS,0,1994,Lillehammer,Speed Skating,"Speed Skating Women's 1,000 metres", 
0,18.0,186.0,79.0,Belgium,BEL,1,2012,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay, 
0,18.0,154.0,42.0,Poland,POL,1,1972,Munich,Gymnastics,Gymnastics Women's Floor Exercise, 
0,21.0,157.0,48.0,Colombia,COL,1,1988,Seoul,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle", 
0,19.0,165.0,62.0,Kazakhstan,KAZ,1,1996,Atlanta,Gymnastics,Gymnastics Men's Rings, 
0,31.0,186.0,79.0,United States,USA,1,2000,Sydney,Athletics,Athletics Men's 110 metres Hurdles,Bronze
0,20.0,185.0,84.0,Romania,ROU,1,1984,Los Angeles,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres", 
0,25.0,182.0,82.0,Sweden,SWE,1,2000,Sydney,Beach Volleyball,Beach Volleyball Men's Beach Volleyball, 
0,23.0,183.0,73.0,West Germany,FRG,0,1984,Sarajevo,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay, 
0,23.0,185.0,80.0,Italy,ITA,1,1984,Los Angeles,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay, 
0,19.0,175.0,75.0,Norway,NOR,0,1984,Sarajevo,Nordic Combined,Nordic Combined Men's Individual, 
0,23.0,168.0,59.0,Ukraine-2,UKR,1,2008,Beijing,Tennis,Tennis Women's Doubles, 
0,27.0,186.0,59.0,United States,USA,1,2000,Sydney,Athletics,"Athletics Men's 10,000 metres", 
0,26.0,175.0,77.0,Sweden,SWE,1,1912,Stockholm,Wrestling,"Wrestling Men's Lightweight, Greco-Roman", 
0,18.0,180.0,81.0,Russia,RUS,1,2008,Beijing,Judo,Judo Men's Half-Middleweight, 
0,35.0,172.0,67.0,United States,USA,1,2012,London,Football,Football Women's Football,Gold
0,21.0,189.0,84.0,Egypt,EGY,1,2012,London,Football,Football Men's Football, 
